GeoID,GeoID,MdHHIncE
301,BK01,"94,790"
302,BK02,"135,874"
303,BK03,"73,145"
304,BK04,"78,824"
305,BK05,"51,277"
306,BK06,"162,768"
307,BK07,"82,730"
308,BK08,"83,969"
309,BK09,"71,459"
310,BK10,"85,042"
311,BK11,"64,676"
312,BK12,"62,458"
313,BK13,"45,075"
314,BK14,"75,021"
315,BK15,"74,077"
316,BK16,"37,880"
317,BK17,"65,544"
318,BK18,"85,155"
355,BK55,
356,BK56,"137,498"
201,BX01,"29,005"
202,BX02,"38,580"
203,BX03,"33,542"
204,BX04,"40,485"
205,BX05,"37,820"
206,BX06,"31,173"
207,BX07,"43,984"
208,BX08,"73,352"
209,BX09,"50,000"
210,BX10,"67,384"
211,BX11,"65,091"
212,BX12,"62,341"
226,BX26,"84,374"
227,BX27,"67,498"
228,BX28,"17,915"
101,MN01,"200,000"
102,MN02,"150,643"
103,MN03,"54,473"
104,MN04,"109,674"
105,MN05,"162,209"
106,MN06,"148,400"
107,MN07,"136,293"
108,MN08,"143,941"
109,MN09,"64,556"
110,MN10,"58,647"
111,MN11,"37,503"
112.000014,MN12,"63,779"
164,MN64,
401,QN01,"86,830"
402,QN02,"89,480"
403,QN03,"73,666"
404,QN04,"66,148"
405,QN05,"86,884"
406,QN06,"96,263"
407,QN07,"69,719"
408,QN08,"84,228"
409,QN09,"84,590"
410,QN10,"94,659"
411,QN11,"102,023"
412,QN12,"74,870"
413,QN13,"105,810"
414,QN14,"69,583"
480,QN80,
481,QN81,
482,QN82,
483,QN83,
484,QN84,"200,000"
501,SI01,"85,858"
502,SI02,"93,990"
503,SI03,"112,707"
595,SI95,"85,343"