ignore,ignore ,GeoID,Pop_1E
BK01,301,301,"201,535"
BK02,302,302,"126,308"
BK03,303,303,"182,441"
BK04,304,304,"115,024"
BK05,305,305,"205,303"
BK06,306,306,"120,661"
BK07,307,307,"124,433"
BK08,308,308,"110,281"
BK09,309,309,"99,978"
BK10,310,310,"127,569"
BK11,311,311,"188,487"
BK12,312,312,"192,058"
BK13,313,313,"110,299"
BK14,314,314,"164,539"
BK15,315,315,"157,254"
BK16,316,316,"94,660"
BK17,317,317,"158,546"
BK18,318,318,"200,230"
BK55,355,355,0
BK56,356,356,14
BX01,201,201,"100,606"
BX02,202,202,"55,971"
BX03,203,203,"88,856"
BX04,204,204,"153,883"
BX05,205,205,"137,347"
BX06,206,206,"87,409"
BX07,207,207,"139,443"
BX08,208,208,"106,607"
BX09,209,209,"172,669"
BX10,210,210,"129,124"
BX11,211,211,"117,283"
BX12,212,212,"161,037"
BX26,226,226,16
BX27,227,227,38
BX28,228,228,57
MN01,101,101,72470
MN02,102,102,"85,706"
MN03,103,103,"155,194"
MN04,104,104,"116,457"
MN05,105,105,"50,450"
MN06,106,106,"143,639"
MN07,107,107,"220,646"
MN08,108,108,"211,135"
MN09,109,109,"114,613"
MN10,110,110,"135,884"
MN11,111,111,"125,413"
MN12,112,112,"202,697"
MN64,164,164,0
QN01,401,401,"175,716"
QN02,402,402,"124,372"
QN03,403,403,"161,901"
QN04,404,404,"175,166"
QN05,405,405,"184,935"
QN06,406,406,"122,344"
QN07,407,407,"250,032"
QN08,408,408,"159,983"
QN09,409,409,"150,819"
QN10,410,410,"138,303"
QN11,411,411,"123,356"
QN12,412,412,"257,420"
QN13,413,413,"206,684"
QN14,414,414,"134,226"
QN80,480,480,0
QN81,481,481,0
QN82,482,482,0
QN83,483,483,0
QN84,484,484,15
SI01,501,501,"182,838"
SI02,502,502,"141,364"
SI03,503,503,"168,027"
SI95,595,595,696